0, 25314
1, 3
2, 2
3, 2
4, 1
5, 1
6, 0
7, 1
8, 1
9, 1
10, 1
11, 990
12, 535
13, 141
14, 1235
15, 2104
16, 717
17, 836
18, 1281
19, 1000
20, 112
21, 419
22, 773
23, 1070
24, 469
25, 424
26, 700
27, 22
28, 673
29, 1997
30, 1116
31, 729
32, 267
33, 921
34, 20
35, 21
36, 236
37, 15
38, 13
39, 48
40, 6236
41, 2193
42, 5576
43, 5835
44, 20765
45, 1853
46, 3211
47, 8237
48, 11292
49, 166
50, 1209
51, 5013
52, 3614
53, 13610
54, 2755
55, 629
56, 35
57, 9125
58, 7729
59, 8048
60, 5167
61, 667
62, 1791
63, 31
64, 19
65, 1289
66, 709
67, 468
68, 908
69, 679
70, 6942
71, 1150
72, 45
73, 0
74, 0
75, 0
76, 0
77, 301
78, 241
79, 240
80, 3
81, 0
82, 2800
83, 99
84, 1328
85, 6
86, 1002
87, 292
88, 0
89, 0
90, 0
91, 413
92, 0
93, 0
94, 0
95, 0
96, 0
97, 5
98, 0
99, 0
100, 0
101, 0
102, 0
103, 6942
104, 0
105, 0
106, 0
107, 0
108, 0
109, 0
110, 0
